LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,SalePrice
4456,OldTown,4,1920,MetalSd,TA,BrkTil,TA,Unf,0,736,736,Gd,SBrkr,736,716,0,1452,0,2,TA,8,0,NA,NA,NA,0,NA,0,0,113000
7742,Sawyer,5,1966,HdBoard,TA,CBlock,TA,BLQ,763,192,955,Ex,SBrkr,955,0,0,955,1,1,TA,6,0,NA,Attchd,Unf,386,TA,0,0,127000
13869,Gilbert,6,1997,VinylSd,TA,PConc,Gd,GLQ,182,612,794,Gd,SBrkr,794,676,0,1470,0,2,TA,6,0,NA,Attchd,Fin,388,TA,0,75,177000
6240,BrkSide,6,1934,Wd Sdng,TA,PConc,TA,Unf,0,816,816,TA,SBrkr,816,0,360,1176,0,1,TA,6,1,Gd,Detchd,Unf,528,TA,112,0,114500
8472,IDOTRR,5,1963,Wd Sdng,Fa,CBlock,Gd,LwQ,104,0,816,TA,SBrkr,816,0,0,816,1,1,TA,5,0,NA,CarPort,Unf,516,TA,106,0,110000
50271,Veenker,9,1981,WdShing,Gd,CBlock,Ex,GLQ,1810,32,1842,Gd,SBrkr,1842,0,0,1842,2,0,Gd,5,1,Gd,Attchd,Fin,894,TA,857,72,385000
7134,NAmes,5,1955,MetalSd,TA,CBlock,TA,ALQ,384,0,384,TA,SBrkr,1360,0,0,1360,0,1,TA,6,1,TA,Detchd,Unf,572,TA,0,50,130000
8470,IDOTRR,3,1915,Plywood,Fa,CBlock,TA,Unf,0,1013,1013,TA,SBrkr,1013,0,513,1526,0,1,Fa,6,0,NA,NA,NA,0,NA,0,0,85000
8070,CollgCr,4,1994,VinylSd,TA,PConc,Gd,GLQ,588,402,990,Ex,SBrkr,990,0,0,990,1,1,TA,5,0,NA,NA,NA,0,NA,0,0,123600
7200,NAmes,4,1950,BrkFace,TA,Slab,NA,NA,0,0,0,TA,FuseA,1040,0,0,1040,0,1,TA,4,0,NA,Detchd,Unf,420,TA,0,29,109900
8500,NAmes,5,1961,HdBoard,TA,CBlock,TA,Rec,600,635,1235,TA,SBrkr,1235,0,0,1235,0,1,TA,6,0,NA,Attchd,Unf,480,TA,0,0,98600
13360,Crawfor,5,1921,Wd Sdng,TA,BrkTil,Gd,ALQ,713,163,876,Ex,SBrkr,964,0,0,964,1,1,TA,5,0,NA,Detchd,Unf,432,TA,0,0,163500
7200,OldTown,6,1910,MetalSd,TA,BrkTil,TA,Rec,1046,168,1214,Ex,SBrkr,1260,1031,0,2291,0,2,TA,9,1,Gd,Detchd,Unf,506,TA,0,0,133900
9337,CollgCr,6,1997,VinylSd,TA,PConc,Gd,GLQ,648,176,824,Ex,SBrkr,905,881,0,1786,1,2,Gd,7,0,NA,Attchd,RFn,684,TA,0,162,204750
9765,Gilbert,6,1993,VinylSd,Ex,PConc,Gd,ALQ,310,370,680,Gd,SBrkr,680,790,0,1470,0,2,TA,6,1,TA,BuiltIn,Fin,420,TA,232,63,185000
10264,CollgCr,7,1999,VinylSd,Gd,PConc,Gd,ALQ,1162,426,1588,Ex,SBrkr,1588,0,0,1588,0,2,Gd,6,0,NA,Attchd,RFn,472,TA,158,29,214000
10921,Edwards,4,1965,HdBoard,TA,CBlock,TA,Rec,520,440,960,TA,FuseF,960,0,0,960,1,1,TA,6,0,NA,Attchd,Fin,432,TA,120,0,94750
10625,Edwards,5,1920,Wd Sdng,TA,BrkTil,TA,ALQ,108,350,458,Fa,SBrkr,835,0,0,835,0,1,TA,5,0,NA,Basment,Unf,366,Fa,0,0,83000
7388,NAmes,5,1959,MetalSd,TA,CBlock,TA,Rec,405,658,1063,Gd,SBrkr,1327,0,0,1327,1,1,Gd,7,0,NA,Detchd,Unf,624,TA,0,0,150750
6853,Timber,8,2001,VinylSd,Gd,PConc,Ex,GLQ,1005,262,1267,Ex,SBrkr,1296,0,0,1296,1,2,Gd,6,0,NA,Attchd,Fin,471,TA,192,25,220000
10335,Sawyer,5,1968,Plywood,TA,CBlock,TA,Rec,570,891,1461,Gd,SBrkr,1721,0,0,1721,0,2,TA,7,1,TA,Attchd,RFn,440,TA,0,96,180000
10400,NWAmes,7,1970,Plywood,TA,PConc,TA,Unf,0,1304,1304,Gd,SBrkr,1682,0,0,1682,0,2,TA,7,1,Gd,Attchd,Unf,530,TA,98,0,174000
10355,NAmes,5,1967,MetalSd,TA,CBlock,TA,BLQ,695,519,1214,TA,SBrkr,1214,0,0,1214,0,2,TA,5,1,Fa,Attchd,RFn,318,TA,0,111,143000
11070,Mitchel,7,1988,VinylSd,TA,CBlock,TA,Unf,0,1907,1907,Gd,SBrkr,1959,0,0,1959,0,3,TA,9,0,NA,2Types,Unf,766,TA,0,0,171000
6342,Sawyer,5,1875,VinylSd,TA,CBlock,TA,Unf,0,780,780,Gd,SBrkr,780,240,0,1020,0,1,TA,6,0,NA,NA,NA,0,NA,0,0,94000
9819,Mitchel,6,1977,Plywood,TA,PConc,TA,ALQ,1567,0,1567,TA,SBrkr,1567,0,0,1567,1,2,Gd,5,2,TA,Attchd,RFn,714,TA,264,32,196000
8731,BrkSide,5,1920,Stucco,TA,BrkTil,TA,BLQ,645,270,915,TA,SBrkr,1167,0,0,1167,0,1,TA,6,1,Gd,Detchd,Unf,495,TA,0,0,144000
7350,NAmes,5,1951,HdBoard,TA,CBlock,TA,ALQ,852,100,952,TA,SBrkr,952,0,0,952,1,1,TA,4,0,NA,Detchd,Unf,840,TA,0,0,139000
10304,NWAmes,5,1976,Plywood,TA,CBlock,TA,ALQ,381,399,780,Ex,SBrkr,1088,780,0,1868,1,2,Gd,9,1,TA,Attchd,Unf,484,TA,448,96,197500
9965,CollgCr,8,2006,VinylSd,Gd,PConc,Ex,GLQ,1150,316,1466,Ex,SBrkr,1466,1362,0,2828,1,3,Gd,11,1,TA,BuiltIn,RFn,1052,TA,125,144,424870
9000,Sawyer,5,1959,Wd Sdng,TA,CBlock,TA,GLQ,288,718,1006,TA,SBrkr,1006,0,0,1006,0,1,TA,5,0,NA,NA,NA,0,NA,0,24,80000
12180,Edwards,4,1941,MetalSd,TA,BrkTil,Gd,BLQ,348,324,672,Fa,FuseA,672,252,0,924,1,1,Fa,5,0,NA,Detchd,Unf,280,TA,0,0,80000
6240,BrkSide,5,1928,MetalSd,TA,BrkTil,TA,Unf,0,1042,1042,Ex,SBrkr,1042,534,0,1576,0,1,TA,8,1,Gd,Detchd,Unf,225,TA,0,0,149000
11200,SawyerW,6,1985,Wd Sdng,Gd,CBlock,Gd,GLQ,1258,40,1298,TA,SBrkr,1298,0,0,1298,1,2,Gd,5,1,TA,Attchd,Unf,403,TA,165,26,180000
12000,Crawfor,7,1941,MetalSd,TA,CBlock,TA,Rec,275,429,704,Ex,SBrkr,860,704,0,1564,0,1,Fa,7,1,Gd,Attchd,Unf,234,TA,0,0,174500
5587,Crawfor,8,2008,CemntBd,Ex,PConc,Ex,GLQ,1480,120,1600,Ex,SBrkr,1652,0,0,1652,1,2,Gd,5,1,Gd,Attchd,Fin,482,TA,162,53,392500
15623,NoRidge,10,1996,Wd Sdng,Gd,PConc,Ex,GLQ,2096,300,2396,Ex,SBrkr,2411,2065,0,4476,1,3,Ex,10,2,TA,Attchd,Fin,813,TA,171,78,745000
10800,OldTown,5,1920,Stucco,TA,BrkTil,TA,Rec,821,299,1120,Ex,SBrkr,1130,0,0,1130,1,1,TA,5,1,Gd,Detchd,Unf,720,TA,229,0,120000
35133,Timber,5,1963,MetalSd,TA,CBlock,TA,Rec,1159,413,1572,Gd,SBrkr,1572,0,0,1572,1,1,TA,5,2,TA,2Types,RFn,995,TA,0,263,186700
9738,Edwards,5,1924,AsbShng,TA,BrkTil,TA,BLQ,392,392,784,Gd,SBrkr,949,272,0,1221,1,1,TA,7,0,NA,Attchd,Unf,392,TA,0,0,104900
10615,OldTown,3,1900,HdBoard,TA,CBlock,Fa,BLQ,440,538,978,TA,SBrkr,1014,685,0,1699,1,2,TA,7,0,NA,CarPort,Unf,420,Fa,0,74,95000
12461,NoRidge,8,1994,ImStucc,Gd,PConc,Gd,GLQ,1456,168,1624,Ex,SBrkr,1624,0,0,1624,1,2,Gd,5,1,Fa,Attchd,RFn,757,TA,0,114,262000
8935,CollgCr,7,2002,VinylSd,Gd,PConc,Gd,Unf,0,831,831,Ex,SBrkr,831,829,0,1660,0,2,Gd,7,0,NA,Attchd,RFn,493,TA,144,68,195000
7500,Gilbert,7,1999,VinylSd,TA,PConc,TA,Unf,0,994,994,Gd,SBrkr,1028,776,0,1804,0,2,Gd,7,1,TA,Attchd,Fin,442,TA,140,60,189000
32463,Mitchel,4,1961,MetalSd,TA,CBlock,TA,BLQ,1159,90,1249,Ex,SBrkr,1622,0,0,1622,1,1,TA,7,1,TA,2Types,Fin,1356,TA,439,0,168000
2645,Somerst,8,1999,MetalSd,Gd,PConc,Gd,Unf,0,776,776,Ex,SBrkr,764,677,0,1441,0,2,Gd,5,0,NA,Detchd,Unf,492,TA,206,0,174000
6762,CollgCr,7,2006,VinylSd,Gd,PConc,Gd,GLQ,686,501,1187,Ex,SBrkr,1208,0,0,1208,1,2,Gd,6,0,NA,Attchd,RFn,632,TA,105,61,206000
10206,Edwards,3,1952,BrkComm,TA,Slab,NA,NA,0,0,0,Fa,FuseF,944,0,0,944,0,1,Fa,4,0,NA,Detchd,Unf,528,TA,0,0,82000
5400,OldTown,5,1920,Wd Sdng,TA,BrkTil,Fa,Unf,0,691,691,Ex,FuseA,691,0,0,691,0,1,Ex,4,0,NA,Detchd,Unf,216,Fa,0,20,86000
11957,Somerst,8,2006,VinylSd,Gd,PConc,Gd,GLQ,24,1550,1574,Ex,SBrkr,1574,0,0,1574,0,2,Gd,7,1,Gd,Attchd,RFn,824,TA,144,104,232000
11500,NWAmes,5,1976,VinylSd,TA,CBlock,TA,Unf,0,1680,1680,Fa,SBrkr,1680,0,0,1680,0,2,TA,8,0,NA,Detchd,Unf,528,TA,0,0,136905
3182,Blmngtn,7,2005,VinylSd,Gd,PConc,Gd,GLQ,16,1330,1346,Ex,SBrkr,1504,0,0,1504,0,2,Gd,7,1,Gd,Attchd,Fin,457,TA,156,0,181000
8385,CollgCr,5,1977,HdBoard,Gd,CBlock,Gd,GLQ,595,390,985,TA,SBrkr,985,0,0,985,0,2,TA,6,0,NA,Attchd,Unf,328,TA,210,0,149900
12155,NAmes,6,1970,Plywood,TA,CBlock,Gd,LwQ,1237,420,1657,Gd,SBrkr,1657,0,0,1657,0,2,TA,7,1,TA,Attchd,Unf,484,TA,0,0,163500
2217,MeadowV,4,1970,CemntBd,TA,CBlock,TA,BLQ,273,0,546,TA,SBrkr,546,546,0,1092,0,1,TA,6,0,NA,Attchd,RFn,286,TA,238,0,88000
12118,Mitchel,7,2004,VinylSd,Gd,PConc,Ex,Unf,0,1710,1710,Ex,SBrkr,1710,0,0,1710,0,2,Gd,7,1,Gd,Attchd,Fin,550,TA,100,48,240000
6000,SWISU,5,1926,Wd Sdng,TA,BrkTil,TA,Unf,0,1008,1008,Ex,SBrkr,1008,0,514,1522,0,2,TA,7,0,NA,NA,NA,0,NA,0,0,102000
11839,SawyerW,7,1990,HdBoard,TA,PConc,Gd,GLQ,1085,390,1475,Ex,SBrkr,1532,797,0,2329,1,2,Gd,10,1,Ex,Attchd,Unf,514,TA,192,121,262280
9600,NWAmes,8,1981,BrkFace,Gd,PConc,Gd,ALQ,1104,1420,2524,TA,SBrkr,2524,0,0,2524,1,2,Gd,9,1,Gd,Attchd,Fin,542,TA,474,120,278000
13680,Edwards,3,1955,BrkFace,TA,Slab,NA,NA,0,0,0,Ex,FuseA,1733,0,0,1733,0,2,TA,8,1,Gd,Attchd,Unf,452,TA,0,0,139600
16056,StoneBr,9,2005,CemntBd,Gd,PConc,Ex,GLQ,240,1752,1992,Ex,SBrkr,1992,876,0,2868,0,3,Ex,11,1,Gd,BuiltIn,Fin,716,TA,214,108,556581
9245,CollgCr,5,1994,VinylSd,TA,PConc,Gd,GLQ,686,304,990,Ex,SBrkr,990,0,0,990,0,1,TA,5,0,NA,Detchd,Unf,672,TA,0,0,145000
21750,Mitchel,5,1960,HdBoard,TA,Slab,NA,NA,0,0,0,TA,SBrkr,1771,0,0,1771,0,1,TA,9,1,TA,Attchd,Unf,336,TA,0,0,115000
11100,Edwards,4,1946,MetalSd,TA,CBlock,NA,NA,0,0,0,Ex,SBrkr,930,0,0,930,0,1,Gd,6,0,NA,Detchd,Unf,308,TA,0,0,84900
8993,Gilbert,7,2007,VinylSd,Gd,PConc,Gd,Unf,0,1302,1302,Ex,SBrkr,1302,0,0,1302,0,2,Gd,6,0,NA,Attchd,Fin,436,TA,0,22,176485
11175,CollgCr,7,2007,VinylSd,Gd,PConc,Gd,Unf,0,1316,1316,Ex,SBrkr,1316,0,0,1316,0,2,Gd,6,1,Gd,Attchd,Fin,440,TA,0,20,200141
9500,NAmes,6,1964,VinylSd,TA,CBlock,TA,Rec,442,374,816,TA,SBrkr,1127,850,0,1977,0,1,TA,9,1,TA,Attchd,RFn,540,TA,0,52,165000
8562,Edwards,5,1957,HdBoard,TA,CBlock,TA,Rec,383,833,1216,Ex,FuseA,1526,0,0,1526,0,1,TA,7,1,Gd,Basment,Unf,364,TA,116,78,144500
10800,OldTown,5,1936,Wd Sdng,TA,CBlock,Fa,ALQ,626,170,796,Gd,SBrkr,1096,370,0,1466,0,2,Gd,7,1,TA,Attchd,Unf,566,TA,436,21,170000
15870,NAmes,5,1969,VinylSd,TA,CBlock,TA,BLQ,75,230,1096,Ex,SBrkr,1096,0,0,1096,1,1,TA,6,0,NA,Attchd,Fin,299,TA,240,32,138800
4435,CollgCr,6,2004,VinylSd,Gd,PConc,Gd,GLQ,662,186,848,Ex,SBrkr,848,0,0,848,1,1,Gd,3,1,Gd,Attchd,RFn,420,TA,140,0,155900
8775,CollgCr,5,1994,VinylSd,TA,PConc,Gd,GLQ,495,495,990,Gd,SBrkr,990,0,0,990,0,1,TA,5,0,NA,Attchd,Unf,299,TA,0,64,126000
11040,NWAmes,6,1971,VinylSd,Gd,CBlock,TA,ALQ,656,602,1258,Ex,SBrkr,1258,0,0,1258,0,2,Gd,5,0,NA,Attchd,RFn,528,TA,55,0,145000
7500,Sawyer,5,1963,HdBoard,TA,CBlock,TA,ALQ,824,216,1040,Fa,SBrkr,1040,0,0,1040,1,1,TA,5,0,NA,Attchd,Fin,308,TA,0,0,133000
8749,CollgCr,7,2002,VinylSd,Gd,PConc,Gd,Unf,0,1459,1459,Ex,SBrkr,1459,0,0,1459,0,2,Gd,6,1,Gd,Attchd,RFn,527,TA,192,39,192000
8800,NAmes,6,1964,HdBoard,TA,CBlock,TA,BLQ,553,698,1251,TA,SBrkr,1251,0,0,1251,1,1,TA,6,2,Gd,Attchd,RFn,461,TA,0,116,160000
13031,Gilbert,6,1995,HdBoard,TA,PConc,Gd,ALQ,592,99,691,Gd,SBrkr,691,807,0,1498,0,2,TA,6,1,TA,Attchd,Fin,409,TA,315,44,187500
9069,SawyerW,6,1992,HdBoard,TA,PConc,Gd,GLQ,747,189,936,Ex,SBrkr,996,0,0,996,1,1,Gd,5,0,NA,Attchd,Unf,564,TA,120,0,147000
1974,MeadowV,4,1973,CemntBd,TA,CBlock,TA,BLQ,334,212,546,TA,SBrkr,546,546,0,1092,0,1,TA,6,0,NA,Attchd,RFn,286,TA,120,96,83500
9750,CollgCr,7,2000,VinylSd,Gd,PConc,Gd,Unf,0,1630,1630,Ex,SBrkr,1630,0,0,1630,0,2,Gd,6,1,TA,Attchd,Unf,451,TA,74,234,213000
10140,NWAmes,5,1975,HdBoard,TA,CBlock,Gd,ALQ,788,268,1056,Ex,SBrkr,1074,0,0,1074,1,1,TA,6,0,NA,Attchd,RFn,495,TA,0,88,153500
14684,SawyerW,7,1990,HdBoard,Gd,CBlock,Gd,ALQ,485,1496,2158,Gd,SBrkr,2196,0,0,2196,0,2,Gd,7,1,TA,Attchd,RFn,701,TA,84,70,271900
8900,SawyerW,4,1966,HdBoard,TA,CBlock,TA,Rec,1056,0,1056,TA,SBrkr,1056,0,0,1056,1,1,TA,5,0,NA,Detchd,Unf,384,TA,0,42,107000
9135,CollgCr,6,2003,VinylSd,Gd,PConc,Gd,GLQ,340,1342,1682,Ex,SBrkr,1700,0,0,1700,1,2,Gd,7,0,NA,Attchd,RFn,544,TA,192,23,200000
7763,NAmes,5,1962,MetalSd,TA,CBlock,TA,Rec,504,319,931,TA,SBrkr,1283,0,0,1283,1,1,TA,6,0,NA,Detchd,Unf,506,TA,0,0,140000
10182,Somerst,8,2006,VinylSd,Gd,PConc,Ex,GLQ,1220,440,1660,Ex,SBrkr,1660,0,0,1660,1,2,Gd,8,1,Gd,Attchd,RFn,500,TA,322,50,290000
11218,SawyerW,6,1992,Wd Sdng,Gd,PConc,Gd,Unf,0,1055,1055,Ex,SBrkr,1055,790,0,1845,0,2,Gd,8,1,TA,Attchd,RFn,462,TA,635,104,189000
12134,Gilbert,8,1988,Wd Sdng,Gd,Wood,Gd,GLQ,427,132,559,Gd,SBrkr,1080,672,0,1752,0,2,TA,8,0,NA,Basment,RFn,492,TA,325,12,164000
9340,Edwards,4,1941,MetalSd,TA,CBlock,TA,Rec,344,328,672,TA,SBrkr,672,0,0,672,1,1,TA,4,0,NA,Attchd,Unf,234,TA,0,113,113000
10246,Sawyer,4,1965,VinylSd,TA,CBlock,TA,GLQ,648,0,648,Ex,SBrkr,960,0,0,960,1,0,TA,3,0,NA,Attchd,Unf,364,TA,88,0,145000
11767,Edwards,5,1946,MetalSd,TA,CBlock,TA,BLQ,352,416,768,Ex,SBrkr,768,432,0,1200,0,1,TA,6,0,NA,Detchd,Unf,240,TA,0,0,130500
12155,SWISU,6,1925,Wd Sdng,TA,BrkTil,TA,BLQ,156,516,672,TA,SBrkr,810,672,0,1482,0,2,Fa,7,0,NA,Detchd,Unf,400,TA,0,0,140000
10440,OldTown,5,1904,MetalSd,TA,PConc,TA,Unf,0,650,650,Gd,SBrkr,958,581,0,1539,0,2,Gd,8,1,Po,Detchd,Unf,686,Gd,70,78,157500
9020,NAmes,6,1966,HdBoard,TA,CBlock,TA,Rec,312,276,1127,TA,SBrkr,1165,0,0,1165,1,1,TA,6,0,NA,Attchd,RFn,490,Gd,0,129,174900
8000,NAmes,5,1961,BrkFace,TA,CBlock,TA,Unf,0,1800,1800,Ex,SBrkr,1800,0,0,1800,0,2,TA,10,0,NA,NA,NA,0,NA,0,0,141000
12665,OldTown,5,1915,Wd Sdng,TA,BrkTil,TA,Unf,0,876,876,Gd,SBrkr,876,540,0,1416,0,1,TA,7,1,Gd,Detchd,Unf,720,TA,418,0,153900
16647,Sawyer,5,1975,HdBoard,TA,CBlock,Gd,ALQ,1390,0,1390,TA,SBrkr,1701,0,0,1701,1,2,TA,6,2,TA,Basment,Fin,611,TA,0,0,171000
9317,SawyerW,7,1993,HdBoard,Gd,PConc,Gd,ALQ,513,227,740,Ex,SBrkr,1006,769,0,1775,1,2,Gd,7,1,TA,Attchd,Unf,425,TA,234,72,213000
15523,CollgCr,5,1972,HdBoard,TA,CBlock,TA,BLQ,460,404,864,Ex,SBrkr,864,0,0,864,1,1,TA,5,1,Fa,Attchd,Unf,338,TA,0,0,133500
45600,ClearCr,6,1908,Wd Sdng,TA,BrkTil,TA,Unf,0,907,907,TA,SBrkr,1307,1051,0,2358,0,3,TA,10,1,Gd,Detchd,Unf,360,Fa,486,40,240000
9600,Veenker,6,1976,Plywood,Gd,CBlock,TA,Unf,0,528,528,Ex,SBrkr,1094,761,0,1855,0,2,TA,7,1,TA,Attchd,RFn,512,TA,113,100,187000
8172,Edwards,4,1954,MetalSd,TA,PConc,TA,Unf,0,941,941,Ex,SBrkr,997,473,0,1470,0,2,TA,7,0,NA,Detchd,Unf,548,TA,0,0,135000
13286,Edwards,9,2007,CemntBd,Ex,PConc,Ex,GLQ,1234,464,1698,Ex,SBrkr,1698,0,0,1698,1,2,Ex,8,1,Gd,Attchd,Fin,768,TA,327,64,320000
6960,NAmes,4,1970,HdBoard,TA,CBlock,TA,ALQ,375,250,864,TA,SBrkr,864,0,0,864,0,1,Gd,5,0,NA,Detchd,Unf,660,TA,96,0,120500
21695,Crawfor,6,1988,Wd Sdng,Gd,CBlock,Gd,GLQ,808,72,880,Ex,SBrkr,1680,0,0,1680,1,2,Gd,5,1,Gd,Attchd,Fin,540,TA,292,44,222000
7314,CollgCr,7,2007,VinylSd,Gd,PConc,Gd,GLQ,724,508,1232,Ex,SBrkr,1232,0,0,1232,1,2,Gd,6,0,NA,Attchd,RFn,632,TA,132,0,194500
11475,NAmes,5,1958,VinylSd,TA,CBlock,TA,Unf,0,1584,1584,TA,SBrkr,1776,0,0,1776,1,2,TA,9,0,NA,Detchd,Unf,888,TA,0,25,110000
6240,IDOTRR,4,1925,MetalSd,TA,CBlock,TA,BLQ,152,628,780,TA,FuseA,848,0,360,1208,0,1,TA,5,0,NA,Detchd,Unf,539,TA,0,23,103000
5389,StoneBr,8,1995,CemntBd,Gd,PConc,Gd,GLQ,1180,415,1595,Ex,SBrkr,1616,0,0,1616,1,2,Gd,5,1,TA,Attchd,RFn,608,TA,237,152,236500
9590,Timber,7,2003,VinylSd,Gd,PConc,Ex,GLQ,786,82,868,Ex,SBrkr,1146,0,0,1146,1,2,Gd,6,1,Gd,Attchd,Fin,438,TA,160,22,187500
11404,CollgCr,7,1998,VinylSd,Gd,PConc,Gd,ALQ,252,901,1153,Ex,SBrkr,1153,878,0,2031,0,2,Gd,8,1,TA,Attchd,Fin,541,TA,192,84,222500
10000,Sawyer,5,1961,HdBoard,TA,CBlock,TA,BLQ,594,270,864,Ex,SBrkr,1144,0,0,1144,1,1,TA,6,1,TA,Attchd,RFn,264,TA,165,0,131400
12508,Mitchel,6,1940,VinylSd,TA,CBlock,Gd,ALQ,660,323,983,Ex,SBrkr,983,767,0,1750,1,2,TA,7,0,NA,Attchd,Unf,423,TA,245,0,160000
9100,CollgCr,7,2004,VinylSd,Gd,PConc,Gd,GLQ,24,1836,1860,Ex,SBrkr,1836,0,0,1836,0,2,Gd,8,1,Gd,Attchd,Fin,484,TA,120,33,216837
53504,StoneBr,8,2003,CemntBd,Ex,PConc,Gd,ALQ,1416,234,1650,Ex,SBrkr,1690,1589,0,3279,1,3,Ex,12,1,Gd,BuiltIn,Fin,841,TA,503,36,538000
7252,Sawyer,5,1982,Wd Sdng,TA,CBlock,Gd,GLQ,685,173,858,TA,SBrkr,858,0,0,858,1,1,TA,5,0,NA,Detchd,Unf,576,TA,120,0,134900
8877,Edwards,4,1951,Wd Sdng,TA,CBlock,Fa,LwQ,836,0,836,TA,FuseF,1220,0,0,1220,0,1,TA,6,0,NA,Detchd,Unf,396,TA,0,0,102000
7819,Edwards,6,1976,Plywood,TA,CBlock,TA,ALQ,422,480,1029,TA,SBrkr,1117,0,0,1117,1,1,TA,6,1,TA,Detchd,Unf,672,TA,144,0,107000
10150,NAmes,5,1958,Wd Sdng,TA,CBlock,TA,Rec,456,456,912,Ex,FuseA,912,0,0,912,0,1,TA,5,0,NA,Attchd,RFn,275,TA,0,0,114500
14226,NridgHt,8,2006,VinylSd,Gd,PConc,Gd,Unf,0,1935,1935,Gd,SBrkr,1973,0,0,1973,0,2,Gd,9,1,Gd,Attchd,Fin,895,TA,315,45,395000
4500,Mitchel,6,1998,VinylSd,TA,PConc,Ex,GLQ,866,338,1204,Ex,SBrkr,1204,0,0,1204,1,2,TA,5,0,NA,Attchd,Fin,412,TA,0,247,162000
11210,CollgCr,7,2005,VinylSd,Gd,PConc,Gd,GLQ,20,1594,1614,Ex,SBrkr,1614,0,0,1614,0,2,Gd,7,0,NA,Attchd,RFn,865,TA,144,59,221500
13350,Sawyer,5,1974,HdBoard,TA,CBlock,TA,ALQ,762,102,864,TA,SBrkr,894,0,0,894,1,1,TA,5,1,Fa,Attchd,Unf,440,TA,241,0,142500
